time_sec,E_gudget,best_distance
0.0,100,1219.817160623736
0.0010786168277263641,200,1105.1973431551924
0.0021169018000364304,300,1033.3799625520796
0.0031307386234402657,400,978.3049719279023
0.004113088361918926,500,934.4245739925383
0.005106750875711441,600,815.9159365385732
0.006083904765546322,700,781.131902569626
0.00908694975078106,1000,729.9030187866038
0.0120719438418746,1300,717.4984888694917
0.013047011569142342,1400,691.3230088499167
0.015003856271505356,1600,666.430906232311
0.019933351315557957,2100,662.3329675789521
0.020925287157297134,2200,654.026376315199
0.02189700026065111,2300,646.1399996984611
0.02384814340621233,2500,627.4074419068121
0.03759466018527746,3900,606.150291989801
0.039526643231511116,4100,573.4606888418868
