time_sec,E_budget,best_distance
0.020641816779971123,1,7827.484080889451
0.14429091475903988,7,7781.298500918617
0.39101366698741913,19,7607.042937940959
0.5565433716401458,27,7359.669681149615
1.055949043482542,51,7253.907802964459
1.1799123315140605,57,7050.524799462249
1.3443215694278479,65,6954.753779639223
2.3401966048404574,113,6941.327650127072
2.4249190762639046,117,6707.197439645033
2.7954172724857926,135,6562.516112231692
2.9186601592227817,141,6483.191680762568
3.130519460886717,151,5962.496794372204
3.171639653854072,153,5727.235242322
3.254857176914811,157,5671.370686134967
3.275440778583288,158,5665.733972062172
4.13944146502763,200,5627.941577929054
4.166542793624103,201,5362.345679652779
4.187497577629983,202,5339.014089230191
4.208405396901071,203,5284.687293619426
4.2698590606451035,206,5087.472905338996
4.393206390552223,212,5069.786127389678
4.784470892511308,231,5009.652521376715
5.176087088882923,250,5007.120860453745
5.2029477981850505,251,4996.754814228678
5.243917494080961,253,4694.005844074106
5.428107199259102,262,4584.2239308039525
5.737724922597408,277,4532.01156716683
6.25749006588012,302,4454.232025306614
6.339230680838227,306,4368.891001970003
6.360080755315721,307,4367.111829802779
6.401447574608028,309,4179.8295332624875
6.648456932045519,321,3991.634742965315
7.273875051178038,351,3839.533796025719
8.57099380902946,414,3601.5450627483388
14.574313527904451,705,3460.153580857396
40.836857894435525,1969,3386.2135567204
241.3781913947314,11237,3364.31663795914
298.54162014927715,13879,3214.6509939379453
