time_sec,E_budget,best_distance
0.0,200,3506.919628434462
0.004587302915751934,400,3302.206281653953
0.009213016368448734,600,3137.7392454609517
0.013660240918397903,800,2906.946295913075
0.01823556888848543,1000,2768.059745350783
0.02291883062571287,1200,2695.1572415494197
0.027500828728079796,1400,2664.6212894735086
0.0321737565100193,1600,2568.4238874372368
0.0366613520309329,1800,2422.485949009846
0.04554338753223419,2200,2336.286780088691
0.049916175194084644,2400,2178.0827085612837
0.05443083308637142,2600,2156.347073874053
0.05900552775710821,2800,2093.89638012859
0.06358695775270462,3000,2018.7749485113866
0.07265664730221033,3400,1946.9858852617597
0.07713671587407589,3600,1909.6422121430396
0.08161379303783178,3800,1894.1172748183276
0.09052536729723215,4200,1804.0684644071825
0.09487234614789486,4400,1770.3928652195725
0.11297470331192017,5200,1724.5906964600333
0.11747896112501621,5400,1675.837658967483
0.12180138844996691,5600,1673.6922601839042
0.13525551185011864,6200,1653.5613276501347
0.1444045789539814,6600,1635.8784273421952
0.14876116998493671,6800,1629.3246119499252
0.15332116652280092,7000,1546.6212699113812
0.16247220244258642,7400,1474.1138638555456
0.17152523342519999,7800,1427.6873265564625
0.19428220950067043,8800,1400.601378638093
0.21688207797706127,9800,1391.5292914229433
0.2398310685530305,10800,1381.0353937865448
0.2443230301141739,11000,1379.3360752143683
0.25748828053474426,11600,1379.171250395274
0.27081689331680536,12200,1349.914816111683
0.2797442739829421,12600,1322.2980428270605
0.28871211782097816,13000,1282.019450991938
0.3112522093579173,14000,1273.8948564918326
0.3157343100756407,14200,1270.7805795524052
0.32485911808907986,14600,1226.500147893255
0.3650781698524952,16400,1222.3287292194339
0.37395149655640125,16800,1218.9451613539354
0.38287164736539125,17200,1218.4290711993071
0.44550674594938755,20000,1218.3669774595846
0.47655532136559486,21400,1208.4959209692718
0.5348596144467592,24000,1196.3145003679542
0.5439715776592493,24400,1185.953757932466
0.5529534127563238,24800,1152.1065069840158
0.5574191156774759,25000,1139.9250863826983
0.5708698024973273,25600,1121.0358163620056
0.5982447825372219,26800,1113.2186363058406
0.634129018522799,28400,1111.768127209197
0.6477077398449183,29000,1098.5780596666516
0.6613166378811002,29600,1097.5098547914652
0.6789971608668566,30400,1092.1177861070018
0.6924980226904154,31000,1083.831506481266
0.7418321203440428,33200,1078.5918829322584
0.7551983026787639,33800,1077.6438555197583
0.8720066351816058,39000,1076.767351106666
0.9973088158294559,44600,1054.9669670529643
1.0917336335405707,48800,1044.5595460142792
1.14998590759933,51400,1044.3669191575218
1.1723041366785765,52400,1043.4516080434646
1.208000821992755,54000,1039.3339328382958
1.320088718086481,59000,1024.4622059850574
1.3693952448666096,61200,1022.9815780637443
1.3828913290053606,61800,999.340285473013
1.485621977597475,66400,998.4596404745282
1.489985798485577,66600,997.8596575516999
2.0252527417615056,90400,991.9169740376785
2.2533949045464396,100600,987.849854883071
